name,inchikey
6-Hydroxydihydrodaidzein,ZAIJTQZQMCNJHG-UHFFFAOYSA-N
6-O-Methylequol,UIGOOLXQMJUBBW-UHFFFAOYSA-N
"7,8,3',4'-Tetrahydroxyisoflavone",VMOBWBRUROXCOO-UHFFFAOYSA-N
"7,8,4'-Trihydroxyisoflavone",BMZFZTMWBCFKSS-UHFFFAOYSA-N
8-Hydroxydihydrodaidzein,IPNJSNNLHGSALU-UHFFFAOYSA-N
Angolensin,CCOJFDRSZSSKOG-UHFFFAOYSA-N
Biochanin A,WUADCCWRTIWANL-UHFFFAOYSA-N
Butin,MJBPUQUGJNAPAZ-UHFFFAOYSA-N
Calycosin,ZZAJQOPSWWVMBI-UHFFFAOYSA-N
cis-4-Hydroxyequol,YOSDNAMJVOLJKI-UHFFFAOYSA-N
Daidzein,ZQSIJRDFPHDXIC-UHFFFAOYSA-N
Daidzein 4'-O-glucuronide,ATUYSKUVHUPXBV-UHFFFAOYSA-N
Daidzein 7-O-glucuronide,MMIBOZXVZLENRZ-UHFFFAOYSA-N
Daidzin,KYQZWONCHDNPDP-UHFFFAOYSA-N
Daidzin 4'-O-glucuronide,GYUSQHGUWBBSRO-UHFFFAOYSA-N
Dalbergin,AZELSOYQOIUPBZ-UHFFFAOYSA-N
Dihydrobiochanin A,XPZQBSCTDLGDBP-UHFFFAOYSA-N
Dihydrodaidzein,JHYXBPPMXZIHKG-UHFFFAOYSA-N
Dihydrodaidzein 7-O-glucuronide,SMUUTIXQVTUCJD-UHFFFAOYSA-N
Dihydroformononetin,INYISIYHXQDCPK-UHFFFAOYSA-N
Dihydrogenistein,UQGVUYNHDKMLSE-UHFFFAOYSA-N
Dihydroglycitein,HEZSALBPROZVOO-UHFFFAOYSA-N
Equol,ADFCQWZHKCXPAJ-UHFFFAOYSA-N
Equol 4'-O-glucuronide,VIKIIYUHWNDRNI-UHFFFAOYSA-N
Equol 7-O-glucuronide,XDPLKWRSVXUQBN-UHFFFAOYSA-N
Formononetin,HKQYGTCOTHHOMP-UHFFFAOYSA-N
Formononetin 7-O-glucuronide,UMBVLOHYPOQARY-UHFFFAOYSA-N
Genistein,TZBJGXHYKVUXJN-UHFFFAOYSA-N
"Genistein 4',7-O-diglucuronide",DFJSPRNCKDBZIJ-UHFFFAOYSA-N
Genistein 4'-O-glucuronide,NHEBJNCJBWUPCK-UHFFFAOYSA-N
Genistein 5-O-glucuronide,IOJNOBYNWXBNBY-UHFFFAOYSA-N
Genistein 7-O-glucuronide,JIVINIISUDEORF-UHFFFAOYSA-N
Glycitein,DXYUAIFZCFRPTH-UHFFFAOYSA-N
Glycitein 4'-O-glucuronide,FXGSRMKCZRQRER-UHFFFAOYSA-N
Glycitein 7-O-glucuronide,HVZUFDAWJOXFQU-UHFFFAOYSA-N
Glycitin,OZBAVEKZGSOMOJ-UHFFFAOYSA-N
Irilone,NUGRQNBDTZWXTP-UHFFFAOYSA-N
Irisolidone,VOOFPOMXNLNEOF-UHFFFAOYSA-N
Irisolidone 7-O-glucuronide,IOKMQETVPIUDOP-UHFFFAOYSA-N
Isoliquiritigenin,DXDRHHKMWQZJHT-UHFFFAOYSA-N
Isotectorigenin,UYLQOGTYNFVQQX-UHFFFAOYSA-N
Koparin,SMOFGXHPWCTYQD-UHFFFAOYSA-N
Melanettin,HUGUGFBIYQBLCS-UHFFFAOYSA-N
O-Desmethylangolensin,JDJPNKPFDDUBFV-UHFFFAOYSA-N
Orobol,IOYHCQBYQJQBSK-UHFFFAOYSA-N
Prunetin,KQMVAGISDHMXJJ-UHFFFAOYSA-N
Pseudobaptigenin,KNJNBKINYHZUGC-UHFFFAOYSA-N
Puerarin,HKEAFJYKMMKDOR-UHFFFAOYSA-N
Sativanone,JOVYBWHPTQRVNZ-UHFFFAOYSA-N
Stevenin,MYVNFPJTNYAPDH-UHFFFAOYSA-N
Tectoridin,CNOURESJATUGPN-UHFFFAOYSA-N
Tectorigenin,OBBCRPUNCUPUOS-UHFFFAOYSA-N
Tectorigenin 4'-sulfate,YCLRZPRGSLQMFZ-UHFFFAOYSA-N
Tectorigenin 7-sulfate,KUJUUJDSDSCNMZ-UHFFFAOYSA-N
Vestitone,WQCJOKYOIJVEFN-UHFFFAOYSA-N
Violanone,ILOKNKKFXJKHMB-UHFFFAOYSA-N
2'-Hydroxyenterolactone,NHWWOCIDXQDDJV-UHFFFAOYSA-N
2-Hydroxyenterodiol,JJVHJPXSEFIVJU-UHFFFAOYSA-N
2-Hydroxyenterolactone,XZCLFXNAFVVPJG-UHFFFAOYSA-N
4'-Hydroxyenterolactone,MJMVFOFWTGVQBW-UHFFFAOYSA-N
4-Hydroxyenterodiol,SSJFHTSLUHPBHD-UHFFFAOYSA-N
4-Hydroxyenterolactone,NFWHNQANQSCHGT-UHFFFAOYSA-N
5-Hydroxyenterolactone,VZASJFJTVXPGCE-UHFFFAOYSA-N
6'-Hydroxyenterolactone,OUWRXHXCIKQNEC-UHFFFAOYSA-N
6-Hydroxyenterodiol,IIIPQSPGJDLZTP-UHFFFAOYSA-N
6-Hydroxyenterolactone,ZMNWDZAVQFERIQ-UHFFFAOYSA-N
7-Hydroxyenterolactone,NRAPUSPCLWHFAN-UHFFFAOYSA-N
7-Hydroxymatairesinol,ZZSOKNNVDKKSDE-LPHKOSDUSA-N
Cyclolariciresinol,OGFXBIXJCWAUCH-KPHUOKFYSA-N
Deoxyschisandrin,JEJFTTRHGBKKEI-UHFFFAOYSA-N
Enterodiol,DWONJCNDULPHLV-UHFFFAOYSA-N
Enterolactone,HVDGDHBAMCBBLR-UHFFFAOYSA-N
Episesaminol,KQRXQIPRDKVZPW-UHFFFAOYSA-N
Gomisin D,VLLFEMVDMFTBHG-UHFFFAOYSA-N
Gomisin M2,PDDXWOMYBJCSQB-UHFFFAOYSA-N
Lariciresinol,MHXCIKYXNYCMHY-UHFFFAOYSA-N
Matairesinol,MATGKVZWFZHCLI-UHFFFAOYSA-N
Schisandrin,YEFOAORQXAOVJQ-UHFFFAOYSA-N
Schisandrin B,RTZKSTLPRTWFEV-UHFFFAOYSA-N
Schisandrin C,HTBWBWWADZJXID-UHFFFAOYSA-N
Schisandrol B,ZWRRJEICIPUPHZ-UHFFFAOYSA-N
Schisanhenol,FYSHYFPJBONYCQ-UHFFFAOYSA-N
Schisantherin A,UFCGDBKFOKKVAC-UHFFFAOYSA-N
Secoisolariciresinol,PUETUDUXMCLALY-UHFFFAOYSA-N
Sesaminol,KQRXQIPRDKVZPW-UHFFFAOYSA-N
Sesaminol 2-O-triglucoside,KKJBZOSTUMQZAI-UHFFFAOYSA-N
Tigloylgomicin H,HKGBQWCXKLHIBG-UHFFFAOYSA-N
"1,3,5-Trimethoxybenzene",LKUDPHPHKOZXCD-UHFFFAOYSA-N
4-Ethylbenzoic acid,ZQVKTHRQIXSMGY-UHFFFAOYSA-N
Glycine,DHMQDGOQFOQNFH-UHFFFAOYSA-N
Vanilloylglycine,LOODYTDRRBLQNH-UHFFFAOYSA-N
4-Ethylphenol,HXDOZKJGKXYMEW-UHFFFAOYSA-N
Protocatechuic aldehyde,IBGBGRVKPALMCQ-UHFFFAOYSA-N
Vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N
Vanillin 4-sulfate,OUIKMDRGUNIXSP-UHFFFAOYSA-N
"2,4-Dihydroxyacetophenone 5-sulfate",COXWPCPYWFBNJH-UHFFFAOYSA-N
2-Hydroxy-4-methoxyacetophenone 5-sulfate,IFFSTUJRUZMSDG-UHFFFAOYSA-N
Norathyriol,ZHTQCPCDXKMMLU-UHFFFAOYSA-N
Paeonol,UILPJVPSNHJFIK-UHFFFAOYSA-N
Resacetophenone,SULYEHHGGXARJS-UHFFFAOYSA-N
Urolithin A,RIUPLDUFZCXCHM-UHFFFAOYSA-N
"Urolithin A 3,8-O-diglucuronide",SXMJSEFKPOZNAT-UHFFFAOYSA-N
Urolithin B,WXUQMTRHPNOXBV-UHFFFAOYSA-N
Urolithin B 3-O-glucuronide,MHBWCULXQBVPQT-UHFFFAOYSA-N
Urolithin C,HHXMEXZVPJFAIJ-UHFFFAOYSA-N
Homovanillyl alcohol,XHUBSJRBOQIZNI-UHFFFAOYSA-N
Catechol,YCIMNLLNPGFGHC-UHFFFAOYSA-N
Coumestrol,ZZIALNLLNHEQPJ-UHFFFAOYSA-N
"Isopropyl 3-(3,4-dihydroxyphenyl)-2-hydroxypropanoate",ZYFWDUKUSGLMGL-UHFFFAOYSA-N
Lithospermic acid,UJZQBMQZMKFSRV-UHFFFAOYSA-N
Pyrogallol,WQGWDDDVZFFDIG-UHFFFAOYSA-N
Salvianolic acid B,SNKFFCBZYFGCQN-UHFFFAOYSA-N
Salvianolic acid C,GCJWPRRNLSHTRY-UHFFFAOYSA-N
Salvianolic acid D,KFCMFABBVSIHTB-UHFFFAOYSA-N
Salvianolic acid G,KFCMFABBVSIHTB-UHFFFAOYSA-N
"3,4-DHPEA-EDA",XLPXUPOZUYGVPD-XNJYKOPJSA-N
Hydroxytyrosol,JUUBCHWRXWPFFH-UHFFFAOYSA-N
Oleuropein,RFWGABANNQMHMZ-UHFFFAOYSA-N
p-HPEA-EDA,VPOVFCBNUOUZGG-UHFFFAOYSA-N
Tyrosol,YCCILVSKPBXVIP-UHFFFAOYSA-N
Tyrosol 4-sulfate,VCRXMIQBQGCAAL-UHFFFAOYSA-N
"2,3-Dihydroxybenzoic acid",GLDQAMYCGOIJDV-UHFFFAOYSA-N
"2,4-Dihydroxybenzoic acid",UIAFKZKHHVMJGS-UHFFFAOYSA-N
2-Hydroxybenzoic acid,YGSDEFSMJLZEOE-UHFFFAOYSA-N
2-Hydroxyhippuric acid,ONJSZLXSECQROL-UHFFFAOYSA-N
"3,4-O-Dimethylgallic acid",WFIBQVFJXGQICQ-UHFFFAOYSA-N
"3,5-Dihydroxybenzoic acid",UYEMGAFJOZZIFP-UHFFFAOYSA-N
3-Hydroxybenzoic acid,IJFXRHURBJZNAO-UHFFFAOYSA-N
3-Hydroxyhippuric acid,XDOFWFNMYJRHEW-UHFFFAOYSA-N
3-O-Methylgallic acid,KWCCUYSXAYTNKA-UHFFFAOYSA-N
4-Hydroxybenzoic acid,FJKROLUGYXJWQN-UHFFFAOYSA-N
4-Hydroxyhippuric acid,ZMHLUFWWWPBTIU-UHFFFAOYSA-N
4-O-Methylgallic acid,UBXDWYFLYYJQFR-UHFFFAOYSA-N
Benzoic acid,WPYMKLBDIGXBTP-UHFFFAOYSA-N
Ellagic acid,AFSDNFLWKVMVRB-UHFFFAOYSA-N
Gallagic acid,FMQVGTFRDKFGPD-UHFFFAOYSA-N
Gallic acid,LNTHITQWFMADLM-UHFFFAOYSA-N
Gallic acid ethyl ester,VFPFQHQNJCMNBZ-UHFFFAOYSA-N
Gentisic acid,WXTMDXOMEHJXQO-UHFFFAOYSA-N
Hippuric acid,QIAFMBKCNZACKA-UHFFFAOYSA-N
Paeoniflorin,YKRGDOXKVOZESV-UHFFFAOYSA-N
Protocatechuic acid,YQUVCSBJEUQKSH-UHFFFAOYSA-N
Punicalagin,ZJVUMAFASBFUBG-UHFFFAOYSA-N
Punicalin,IQHIEHIKNWLKFB-UHFFFAOYSA-N
Syringic acid,JMSVCTWVEWCHDZ-UHFFFAOYSA-N
Vanillic acid,WKOLLVMJNQIZCI-UHFFFAOYSA-N
Vanillic acid 4-sulfate,TXRKUXPAEPOCIX-UHFFFAOYSA-N
"1,5-Dicaffeoylquinic acid",YDDUMTOHNYZQPO-UHFFFAOYSA-N
"1,5-Diferuloylquinic acid",YSOVEZGZSWEECD-UHFFFAOYSA-N
1-Caffeoyl-5-feruloylquinic acid,DJXURFUTIYZESV-UHFFFAOYSA-N
1-Feruloyl-5-caffeoylquinic acid,WBACKTNTXNGGBO-UHFFFAOYSA-N
"3,4-Dicaffeoylquinic acid",UFCLZKMFXSILNL-UHFFFAOYSA-N
"3,5-Dicaffeoylquinic acid",KRZBCHWVBQOTNZ-UHFFFAOYSA-N
3-Caffeoylquinic acid,CWVRJTMFETXNAD-UHFFFAOYSA-N
3-Feruloylquinic acid,RAGZUCNPTLULOL-UHFFFAOYSA-N
3-O-Methylrosmarinic acid,NFSDQICEPLDULQ-QPJJXVBHSA-N
"4,5-Dicaffeoylquinic acid",UFCLZKMFXSILNL-UHFFFAOYSA-N
4-Feruloylquinic acid,VTMFDSJJVNQXLT-UHFFFAOYSA-N
5-Caffeoylquinic acid,CWVRJTMFETXNAD-UHFFFAOYSA-N
5-Feruloylquinic acid,RAGZUCNPTLULOL-UHFFFAOYSA-N
5-p-Coumaroylquinic acid,BMRSEYFENKXDIS-UHFFFAOYSA-N
Caffeic acid,QAIPRVGONGVQAS-UHFFFAOYSA-N
